[14:07:53.026] ================ START SliceEq SELF-TRAINING ================
[14:07:53.026] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='SliceEq_PROMISE12', model='unet', max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, pretrained_checkpoint='/home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth', sliceeq_radius=1, sliceeq_sigma_min=0.45, sliceeq_sigma_max=0.85, sliceeq_phase_min=-0.25, sliceeq_phase_max=0.25)
[14:07:53.303] Loaded shared pretrain checkpoint: /home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth
[14:07:53.304] Shared pretrain SHA-256: 49e8883039a5712102dc17c5277009504b55c232a10a0af1de4d26fbb414b9b9
[14:07:53.306] 15 iterations per epoch
[14:07:53.306] SliceEq profile: offsets=(-1,0,1), sigma=[0.450, 0.850], phase=[-0.250, 0.250]
[14:08:21.267] iteration 200 : mean_dice : 0.740625, best_dice : 0.740625
[14:08:47.806] iteration 400 : mean_dice : 0.724592, best_dice : 0.740625
[14:09:14.941] iteration 600 : mean_dice : 0.723587, best_dice : 0.740625
[14:09:42.503] iteration 800 : mean_dice : 0.714154, best_dice : 0.740625
[14:10:09.376] iteration 1000 : mean_dice : 0.726894, best_dice : 0.740625
[14:10:37.329] iteration 1200 : mean_dice : 0.764927, best_dice : 0.764927
[14:11:05.849] iteration 1400 : mean_dice : 0.758296, best_dice : 0.764927
[14:11:33.858] iteration 1600 : mean_dice : 0.771466, best_dice : 0.771466
[14:12:01.858] iteration 1800 : mean_dice : 0.756615, best_dice : 0.771466
[14:12:31.451] iteration 2000 : mean_dice : 0.778914, best_dice : 0.778914
[14:12:59.785] iteration 2200 : mean_dice : 0.763870, best_dice : 0.778914
[14:13:28.129] iteration 2400 : mean_dice : 0.767870, best_dice : 0.778914
[14:13:57.118] iteration 2600 : mean_dice : 0.767312, best_dice : 0.778914
[14:14:25.437] iteration 2800 : mean_dice : 0.763535, best_dice : 0.778914
[14:14:53.722] iteration 3000 : mean_dice : 0.767477, best_dice : 0.778914
[14:14:53.731] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_3000.pth
[14:15:22.670] iteration 3200 : mean_dice : 0.752718, best_dice : 0.778914
[14:15:50.806] iteration 3400 : mean_dice : 0.768975, best_dice : 0.778914
[14:16:19.128] iteration 3600 : mean_dice : 0.762966, best_dice : 0.778914
[14:16:47.693] iteration 3800 : mean_dice : 0.765138, best_dice : 0.778914
[14:17:15.750] iteration 4000 : mean_dice : 0.765432, best_dice : 0.778914
[14:17:43.797] iteration 4200 : mean_dice : 0.772178, best_dice : 0.778914
[14:18:12.669] iteration 4400 : mean_dice : 0.762493, best_dice : 0.778914
[14:18:40.953] iteration 4600 : mean_dice : 0.772083, best_dice : 0.778914
[14:19:08.922] iteration 4800 : mean_dice : 0.752456, best_dice : 0.778914
[14:19:38.040] iteration 5000 : mean_dice : 0.760870, best_dice : 0.778914
[14:20:06.314] iteration 5200 : mean_dice : 0.764407, best_dice : 0.778914
[14:20:34.389] iteration 5400 : mean_dice : 0.753678, best_dice : 0.778914
[14:21:03.410] iteration 5600 : mean_dice : 0.769179, best_dice : 0.778914
[14:21:31.796] iteration 5800 : mean_dice : 0.773456, best_dice : 0.778914
[14:21:59.965] iteration 6000 : mean_dice : 0.767758, best_dice : 0.778914
[14:21:59.974] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_6000.pth
[14:22:28.952] iteration 6200 : mean_dice : 0.775033, best_dice : 0.778914
[14:22:57.174] iteration 6400 : mean_dice : 0.770397, best_dice : 0.778914
[14:23:25.844] iteration 6600 : mean_dice : 0.778138, best_dice : 0.778914
[14:23:54.942] iteration 6800 : mean_dice : 0.771729, best_dice : 0.778914
[14:24:23.050] iteration 7000 : mean_dice : 0.771571, best_dice : 0.778914
