[08:54:11.861] ================ START SELF-TRAINING ================
[08:54:11.899] Loaded pre-trained weights and optimizer from ../model/CoDA_MT_PROMISE12_7_labeled/pre_train/unet/unet_best_model.pth
[08:54:11.900] 15 iterations per epoch
[08:54:30.222] iteration 200 : mean_dice : 0.631986, best_dice : 0.631986
[08:54:47.989] iteration 400 : mean_dice : 0.651605, best_dice : 0.651605
[08:55:05.924] iteration 600 : mean_dice : 0.644359, best_dice : 0.651605
[08:55:24.020] iteration 800 : mean_dice : 0.661091, best_dice : 0.661091
[08:55:41.873] iteration 1000 : mean_dice : 0.574566, best_dice : 0.661091
[08:56:00.062] iteration 1200 : mean_dice : 0.668068, best_dice : 0.668068
[08:56:18.488] iteration 1400 : mean_dice : 0.648153, best_dice : 0.668068
[08:56:36.638] iteration 1600 : mean_dice : 0.667289, best_dice : 0.668068
[08:56:54.843] iteration 1800 : mean_dice : 0.669098, best_dice : 0.669098
[08:57:13.303] iteration 2000 : mean_dice : 0.686596, best_dice : 0.686596
[08:57:31.472] iteration 2200 : mean_dice : 0.686764, best_dice : 0.686764
[08:57:49.735] iteration 2400 : mean_dice : 0.707913, best_dice : 0.707913
[08:58:08.474] iteration 2600 : mean_dice : 0.695945, best_dice : 0.707913
[08:58:26.719] iteration 2800 : mean_dice : 0.691559, best_dice : 0.707913
[08:58:45.002] iteration 3000 : mean_dice : 0.711042, best_dice : 0.711042
[08:58:45.010] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_3000.pth
[08:59:07.717] iteration 3200 : mean_dice : 0.692133, best_dice : 0.711042
[08:59:31.954] iteration 3400 : mean_dice : 0.721123, best_dice : 0.721123
[08:59:56.120] iteration 3600 : mean_dice : 0.712474, best_dice : 0.721123
[09:00:20.524] iteration 3800 : mean_dice : 0.715620, best_dice : 0.721123
[09:00:44.706] iteration 4000 : mean_dice : 0.703066, best_dice : 0.721123
[09:01:09.014] iteration 4200 : mean_dice : 0.736220, best_dice : 0.736220
[09:01:33.387] iteration 4400 : mean_dice : 0.725653, best_dice : 0.736220
[09:01:57.543] iteration 4600 : mean_dice : 0.712752, best_dice : 0.736220
[09:02:22.483] iteration 4800 : mean_dice : 0.732028, best_dice : 0.736220
[09:02:46.661] iteration 5000 : mean_dice : 0.689931, best_dice : 0.736220
[09:03:10.721] iteration 5200 : mean_dice : 0.721308, best_dice : 0.736220
[09:03:34.757] iteration 5400 : mean_dice : 0.699477, best_dice : 0.736220
[09:03:59.186] iteration 5600 : mean_dice : 0.741048, best_dice : 0.741048
[09:04:23.623] iteration 5800 : mean_dice : 0.717756, best_dice : 0.741048
[09:04:47.880] iteration 6000 : mean_dice : 0.736399, best_dice : 0.741048
[09:04:47.889] save model to ../model/CoDA_MT_PROMISE12_7_labeled/self_train/unet/iter_6000.pth
[09:05:12.299] iteration 6200 : mean_dice : 0.740233, best_dice : 0.741048
[09:05:36.426] iteration 6400 : mean_dice : 0.732204, best_dice : 0.741048
[09:06:00.631] iteration 6600 : mean_dice : 0.741903, best_dice : 0.741903
[09:06:24.949] iteration 6800 : mean_dice : 0.730322, best_dice : 0.741903
