[10:11:57.282] ================ START BMER SELF-TRAINING ================
[10:11:57.282] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='BMER_PROMISE12', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, bmer_radius=8, bmer_sectors=16, bmer_position_bins=3, bmer_probability=0.5, bmer_strength_min=0.5, bmer_strength_max=1.0, bmer_min_foreground_pixels=32, bmer_bank_batch_size=24)
[10:11:57.320] Loaded pre-trained weights and optimizer from ../model/BMER_PROMISE12_7_labeled/pre_train/unet/unet_best_model.pth
[10:12:03.183] Frozen BMER bank: {'version': 1, 'radius': 8, 'sectors': 16, 'position_bins': 3, 'min_foreground_pixels': 32, 'counts': {0: 94, 1: 209, 2: 68}, 'total': 371, 'skipped': 378, 'frozen': True}
[10:12:03.183] Saved BMER bank to ../model/BMER_PROMISE12_7_labeled/self_train/unet/bmer_profile_bank.pt
[10:12:03.189] 15 iterations per epoch
[10:12:35.265] iteration 200 : mean_dice : 0.675111, best_dice : 0.675111
[10:13:06.884] iteration 400 : mean_dice : 0.662822, best_dice : 0.675111
[10:13:38.583] iteration 600 : mean_dice : 0.713700, best_dice : 0.713700
[10:14:10.706] iteration 800 : mean_dice : 0.635398, best_dice : 0.713700
[10:14:42.437] iteration 1000 : mean_dice : 0.651695, best_dice : 0.713700
[10:15:15.203] iteration 1200 : mean_dice : 0.720936, best_dice : 0.720936
[10:15:47.069] iteration 1400 : mean_dice : 0.581734, best_dice : 0.720936
[10:16:19.854] iteration 1600 : mean_dice : 0.671083, best_dice : 0.720936
[10:16:51.596] iteration 1800 : mean_dice : 0.725424, best_dice : 0.725424
[10:17:23.537] iteration 2000 : mean_dice : 0.695238, best_dice : 0.725424
[10:17:55.251] iteration 2200 : mean_dice : 0.682751, best_dice : 0.725424
[10:18:27.113] iteration 2400 : mean_dice : 0.718115, best_dice : 0.725424
[10:18:59.224] iteration 2600 : mean_dice : 0.697166, best_dice : 0.725424
[10:19:30.889] iteration 2800 : mean_dice : 0.713142, best_dice : 0.725424
[10:20:02.625] iteration 3000 : mean_dice : 0.721398, best_dice : 0.725424
[10:20:02.633] save model to ../model/BMER_PROMISE12_7_labeled/self_train/unet/iter_3000.pth
[10:20:34.715] iteration 3200 : mean_dice : 0.704481, best_dice : 0.725424
[10:21:06.603] iteration 3400 : mean_dice : 0.705686, best_dice : 0.725424
[10:21:38.391] iteration 3600 : mean_dice : 0.727007, best_dice : 0.727007
[10:22:10.172] iteration 3800 : mean_dice : 0.706779, best_dice : 0.727007
