[11:56:14.466] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='OBA_PROMISE12', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, oba_augmentations='log_gamma,smooth_bias,gaussian_noise', oba_gamma_min=0.1, oba_gamma_max=0.4, oba_bias_min=0.1, oba_bias_max=0.35, oba_noise_min=0.05, oba_noise_max=0.15, oba_bias_grid_size=8)
[11:56:14.720] Start pre-training...
[11:56:14.720] 15 iterations per epoch
[11:56:28.054] iteration 200 : mean_dice : 0.205849, best_dice : 0.205849
[11:56:38.591] iteration 400 : mean_dice : 0.367531, best_dice : 0.367531
[11:56:49.285] iteration 600 : mean_dice : 0.295546, best_dice : 0.367531
[11:57:02.611] iteration 800 : mean_dice : 0.551833, best_dice : 0.551833
[11:57:15.612] iteration 1000 : mean_dice : 0.560010, best_dice : 0.560010
[11:57:28.606] iteration 1200 : mean_dice : 0.537685, best_dice : 0.560010
[11:57:41.693] iteration 1400 : mean_dice : 0.457248, best_dice : 0.560010
[11:57:54.589] iteration 1600 : mean_dice : 0.559267, best_dice : 0.560010
[11:58:07.557] iteration 1800 : mean_dice : 0.577969, best_dice : 0.577969
[11:58:20.785] iteration 2000 : mean_dice : 0.577318, best_dice : 0.577969
[11:58:33.606] iteration 2200 : mean_dice : 0.545647, best_dice : 0.577969
[11:58:46.623] iteration 2400 : mean_dice : 0.618459, best_dice : 0.618459
[11:58:59.848] iteration 2600 : mean_dice : 0.596254, best_dice : 0.618459
[11:59:12.709] iteration 2800 : mean_dice : 0.470247, best_dice : 0.618459
[11:59:25.822] iteration 3000 : mean_dice : 0.668522, best_dice : 0.668522
[11:59:39.027] iteration 3200 : mean_dice : 0.532756, best_dice : 0.668522
[11:59:51.894] iteration 3400 : mean_dice : 0.606239, best_dice : 0.668522
[12:00:04.894] iteration 3600 : mean_dice : 0.622427, best_dice : 0.668522
[12:00:18.124] iteration 3800 : mean_dice : 0.651674, best_dice : 0.668522
[12:00:31.045] iteration 4000 : mean_dice : 0.589292, best_dice : 0.668522
[12:00:43.934] iteration 4200 : mean_dice : 0.602990, best_dice : 0.668522
[12:00:57.157] iteration 4400 : mean_dice : 0.631644, best_dice : 0.668522
[12:01:10.153] iteration 4600 : mean_dice : 0.564966, best_dice : 0.668522
[12:01:23.129] iteration 4800 : mean_dice : 0.600143, best_dice : 0.668522
[12:01:36.402] iteration 5000 : mean_dice : 0.586124, best_dice : 0.668522
[12:01:49.396] iteration 5200 : mean_dice : 0.636062, best_dice : 0.668522
[12:02:02.461] iteration 5400 : mean_dice : 0.638633, best_dice : 0.668522
[12:02:15.604] iteration 5600 : mean_dice : 0.624284, best_dice : 0.668522
[12:02:28.640] iteration 5800 : mean_dice : 0.589891, best_dice : 0.668522
[12:02:41.626] iteration 6000 : mean_dice : 0.594964, best_dice : 0.668522
[12:02:54.930] iteration 6200 : mean_dice : 0.585732, best_dice : 0.668522
[12:03:08.010] iteration 6400 : mean_dice : 0.625595, best_dice : 0.668522
[12:03:21.189] iteration 6600 : mean_dice : 0.623646, best_dice : 0.668522
[12:03:34.673] iteration 6800 : mean_dice : 0.623856, best_dice : 0.668522
[12:03:47.561] iteration 7000 : mean_dice : 0.597136, best_dice : 0.668522
[12:04:00.557] iteration 7200 : mean_dice : 0.621069, best_dice : 0.668522
[12:04:13.868] iteration 7400 : mean_dice : 0.637330, best_dice : 0.668522
[12:04:27.046] iteration 7600 : mean_dice : 0.651300, best_dice : 0.668522
[12:04:40.398] iteration 7800 : mean_dice : 0.679773, best_dice : 0.679773
[12:04:53.802] iteration 8000 : mean_dice : 0.627775, best_dice : 0.679773
[12:05:06.932] iteration 8200 : mean_dice : 0.598262, best_dice : 0.679773
[12:05:19.844] iteration 8400 : mean_dice : 0.613897, best_dice : 0.679773
[12:05:33.110] iteration 8600 : mean_dice : 0.579789, best_dice : 0.679773
[12:05:46.193] iteration 8800 : mean_dice : 0.619104, best_dice : 0.679773
[12:05:59.317] iteration 9000 : mean_dice : 0.620830, best_dice : 0.679773
[12:06:12.709] iteration 9200 : mean_dice : 0.627480, best_dice : 0.679773
[12:06:25.916] iteration 9400 : mean_dice : 0.610102, best_dice : 0.679773
[12:06:38.982] iteration 9600 : mean_dice : 0.574701, best_dice : 0.679773
[12:06:52.405] iteration 9800 : mean_dice : 0.608905, best_dice : 0.679773
[12:07:05.506] iteration 10000 : mean_dice : 0.570292, best_dice : 0.679773
