[12:07:05.534] ================ START OBA SELF-TRAINING ================
[12:07:05.534] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='OBA_PROMISE12', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, oba_augmentations='log_gamma,smooth_bias,gaussian_noise', oba_gamma_min=0.1, oba_gamma_max=0.4, oba_bias_min=0.1, oba_bias_max=0.35, oba_noise_min=0.05, oba_noise_max=0.15, oba_bias_grid_size=8)
[12:07:05.572] Loaded pre-trained weights and optimizer from ../model/OBA_PROMISE12_7_labeled/pre_train/unet/unet_best_model.pth
[12:07:05.573] 15 iterations per epoch
[12:07:05.573] OBA post-warmup student batch: 36 = 12 labeled + 2 x 12 unlabeled
[12:07:25.063] iteration 200 : mean_dice : 0.604100, best_dice : 0.604100
[12:07:44.183] iteration 400 : mean_dice : 0.621809, best_dice : 0.621809
[12:08:03.408] iteration 600 : mean_dice : 0.641268, best_dice : 0.641268
[12:08:22.652] iteration 800 : mean_dice : 0.621633, best_dice : 0.641268
[12:08:41.806] iteration 1000 : mean_dice : 0.636833, best_dice : 0.641268
[12:09:04.768] iteration 1200 : mean_dice : 0.642570, best_dice : 0.642570
[12:09:27.846] iteration 1400 : mean_dice : 0.617795, best_dice : 0.642570
[12:09:50.834] iteration 1600 : mean_dice : 0.681954, best_dice : 0.681954
[12:10:13.791] iteration 1800 : mean_dice : 0.692076, best_dice : 0.692076
[12:10:37.332] iteration 2000 : mean_dice : 0.641159, best_dice : 0.692076
[12:11:00.154] iteration 2200 : mean_dice : 0.666726, best_dice : 0.692076
[12:11:23.533] iteration 2400 : mean_dice : 0.683034, best_dice : 0.692076
[12:11:46.696] iteration 2600 : mean_dice : 0.666427, best_dice : 0.692076
[12:12:09.437] iteration 2800 : mean_dice : 0.668687, best_dice : 0.692076
[12:12:32.204] iteration 3000 : mean_dice : 0.673571, best_dice : 0.692076
[12:12:32.213] save model to ../model/OBA_PROMISE12_7_labeled/self_train/unet/iter_3000.pth
[12:12:55.331] iteration 3200 : mean_dice : 0.712665, best_dice : 0.712665
[12:13:18.212] iteration 3400 : mean_dice : 0.712263, best_dice : 0.712665
[12:13:41.371] iteration 3600 : mean_dice : 0.689420, best_dice : 0.712665
[12:14:04.818] iteration 3800 : mean_dice : 0.711078, best_dice : 0.712665
[12:14:27.629] iteration 4000 : mean_dice : 0.706875, best_dice : 0.712665
[12:14:50.462] iteration 4200 : mean_dice : 0.736058, best_dice : 0.736058
[12:15:13.562] iteration 4400 : mean_dice : 0.713194, best_dice : 0.736058
[12:15:36.561] iteration 4600 : mean_dice : 0.739341, best_dice : 0.739341
[12:15:59.412] iteration 4800 : mean_dice : 0.719284, best_dice : 0.739341
[12:16:22.629] iteration 5000 : mean_dice : 0.751103, best_dice : 0.751103
[12:16:45.504] iteration 5200 : mean_dice : 0.756371, best_dice : 0.756371
[12:17:08.771] iteration 5400 : mean_dice : 0.754807, best_dice : 0.756371
[12:17:31.954] iteration 5600 : mean_dice : 0.736049, best_dice : 0.756371
[12:17:54.802] iteration 5800 : mean_dice : 0.735588, best_dice : 0.756371
[12:18:17.548] iteration 6000 : mean_dice : 0.755919, best_dice : 0.756371
[12:18:17.557] save model to ../model/OBA_PROMISE12_7_labeled/self_train/unet/iter_6000.pth
[12:18:40.688] iteration 6200 : mean_dice : 0.750816, best_dice : 0.756371
[12:19:03.451] iteration 6400 : mean_dice : 0.743933, best_dice : 0.756371
[12:19:26.245] iteration 6600 : mean_dice : 0.754954, best_dice : 0.756371
[12:19:49.394] iteration 6800 : mean_dice : 0.759756, best_dice : 0.759756
[12:20:12.875] iteration 7000 : mean_dice : 0.773373, best_dice : 0.773373
[12:20:36.058] iteration 7200 : mean_dice : 0.776164, best_dice : 0.776164
[12:20:59.434] iteration 7400 : mean_dice : 0.771265, best_dice : 0.776164
[12:21:22.315] iteration 7600 : mean_dice : 0.769341, best_dice : 0.776164
[12:21:45.207] iteration 7800 : mean_dice : 0.767658, best_dice : 0.776164
[12:22:08.359] iteration 8000 : mean_dice : 0.776951, best_dice : 0.776951
[12:22:31.233] iteration 8200 : mean_dice : 0.770926, best_dice : 0.776951
[12:22:54.066] iteration 8400 : mean_dice : 0.783630, best_dice : 0.783630
[12:23:17.121] iteration 8600 : mean_dice : 0.769817, best_dice : 0.783630
[12:23:39.933] iteration 8800 : mean_dice : 0.772330, best_dice : 0.783630
[12:24:02.911] iteration 9000 : mean_dice : 0.774338, best_dice : 0.783630
[12:24:02.920] save model to ../model/OBA_PROMISE12_7_labeled/self_train/unet/iter_9000.pth
[12:24:26.074] iteration 9200 : mean_dice : 0.780152, best_dice : 0.783630
[12:24:48.915] iteration 9400 : mean_dice : 0.787683, best_dice : 0.787683
[12:25:12.364] iteration 9600 : mean_dice : 0.775313, best_dice : 0.787683
[12:25:35.502] iteration 9800 : mean_dice : 0.780841, best_dice : 0.787683
